RAM,OS_Version,Storage,Battery,Issue
8,8,256,3000,5
16,12,16,4500,3
12,10,64,4000,5
6,9,32,4500,3
16,9,32,4000,3
3,13,256,4500,2
12,9,16,4000,3
16,9,128,4000,5
8,11,16,5000,3
4,7,256,4500,5
6,10,128,3000,5
6,13,32,2500,0
4,7,512,5000,5
16,10,128,4500,1
2,7,128,2000,0
12,10,128,3000,5
3,11,256,5000,2
4,8,512,3000,5
4,8,16,2000,0
3,12,32,2000,0
3,11,16,4000,2
8,8,256,2500,0
4,10,512,2000,0
8,9,256,3000,5
16,13,128,2000,0
8,8,16,2500,0
6,12,128,2000,0
3,13,512,2500,0
12,10,64,2000,0
12,8,16,4000,3
12,10,512,5000,1
2,9,512,2500,0
16,7,64,3000,5
4,10,16,4500,3
2,13,16,2500,0
16,10,128,4500,1
12,8,128,3500,5
2,12,64,5000,2
4,8,512,2500,0
12,13,16,4500,3
3,10,32,3500,3
8,10,64,2500,0
4,8,128,2500,0
6,13,64,3500,5
4,11,16,3500,3
8,10,256,4000,5
4,11,64,3500,5
8,10,64,4000,5
12,13,256,3000,5
8,13,64,4000,5
4,11,256,2000,0
6,9,128,3000,5
16,8,128,4500,1
16,8,16,4500,3
12,8,16,4000,3
3,13,32,5000,2
4,12,128,4000,4
8,9,64,5000,5
12,9,256,2000,0
12,13,64,2500,0
4,9,256,3500,5
3,11,16,3000,2
16,9,256,3000,5
8,12,32,2500,0
12,10,256,3000,5
6,12,32,3000,3
16,13,16,3000,3
2,10,256,4500,5
16,7,32,5000,3
12,7,512,2500,0
4,11,256,5000,5
16,12,32,4000,3
3,11,64,4000,2
8,7,256,4000,5
16,9,32,4500,3
8,8,256,3000,5
12,7,16,3500,3
3,12,64,4500,2
6,7,64,5000,5
8,8,32,4000,3
6,11,16,2000,0
12,8,32,4500,3
4,9,32,5000,3
16,13,64,2500,0
8,10,64,4500,5
16,11,512,5000,1
4,11,64,4500,5
12,7,64,4500,1
8,8,256,2500,0
16,12,256,3500,5
6,12,256,2500,0
6,12,32,5000,3
3,7,256,2000,0
2,13,256,2000,0
12,7,16,4000,3
12,12,32,4500,3
8,7,64,4000,5
4,7,64,2500,0
2,13,128,4500,2
3,8,64,4500,5
4,13,16,4000,3
6,7,16,4500,3
6,11,16,5000,3
2,8,256,3000,5
6,10,128,4500,5
16,8,128,2500,0
12,13,512,2500,0
6,13,16,4000,3
3,9,64,2000,0
16,9,16,5000,3
6,11,512,5000,5
3,13,16,4000,2
3,9,32,2500,0
3,8,32,2500,0
8,8,128,3500,5
6,10,64,2000,0
16,12,512,5000,1
6,7,64,3000,5
12,8,32,3000,3
6,13,16,2000,0
12,8,64,4500,1
3,13,512,5000,2
16,7,64,2500,0
12,12,16,4500,3
6,10,128,3000,5
3,13,64,5000,2
2,10,64,2000,0
4,7,16,2500,0
12,9,64,5000,1
16,10,128,3500,5
3,10,512,4000,5
8,11,16,5000,3
16,12,128,4000,5
8,13,256,4500,5
2,12,512,3000,2
16,11,64,3000,5
3,8,64,3500,5
3,11,128,2500,0
8,10,64,3000,5
3,10,32,4500,3
8,11,512,3000,5
8,8,32,4000,3
6,8,64,3500,5
12,8,128,3500,5
3,8,32,4500,3
16,7,64,2000,0
2,12,64,2500,0
8,11,64,4500,5
6,11,64,3000,5
12,13,32,3500,3
4,7,64,2000,0
3,10,256,4000,5
4,13,128,3000,4
4,10,32,2000,0
6,11,64,4000,5
8,12,64,3500,5
2,9,16,2500,0
16,8,32,4500,3
2,7,64,3500,5
6,9,16,4500,3
8,11,16,3500,3
12,11,16,3500,3
16,7,16,2000,0
16,10,256,2000,0
2,8,64,3000,5
2,13,64,2500,0
8,10,128,3000,5
4,11,256,3000,5
4,11,16,3000,3
2,8,512,4000,5
4,10,32,3000,3
2,10,32,5000,3
6,9,64,3000,5
4,10,512,4500,5
6,11,512,3000,5
2,10,128,4000,5
6,11,512,4000,5
3,9,32,4500,3
16,10,32,3500,3
3,7,64,3500,5
2,7,16,4000,3
16,7,16,5000,3
16,10,64,2000,0
4,11,256,3500,5
3,7,256,2500,0
6,9,16,4500,3
2,12,32,2000,0
12,7,256,4500,1
4,9,128,2000,0
12,8,16,3000,3
6,13,128,2500,0
